,날짜,"00:00
~
03:00","04:00
~
07:00","08:00
~
11:00","12:00
~
15:00","16:00
~
19:00","20:00
~
23:00"
10,2일-금,"01:00 글루타치온(CJ)
01:00 시서스추출물(홈엔쇼핑)
01:00 밀크씨슬추출물(NS)","04:00 산양유단백질(NS)
06:00 유단백추출물(롯데)
06:35 양배추발효효소추출물(NS)
06:45 락토바실러스 애시도필러스(CJ)
07:15 모로오렌지추출분말(현대)","10:25 농축유청단백(GS)
10:25 글루타치온(현대)
11:35 엔테로코커스페슘(GS)
11:35 콘드로이친(홈엔쇼핑)",14:40 저분자콜라겐펩타이드(현대),"17:30 분리유청단백(CJ)
17:35 저분자콜라겐펩타이드(GS)",20:45 구아검가수분해물(롯데)
11,3일-토,-,"04:00 황금등복합물(NS)
06:00 글루타치온(홈엔쇼핑)
06:00 저분자콜라겐펩타이드(NS)
06:20 오메가3(현대)
06:36 저분자콜라겐펩타이드(GS)
07:15 락토바실러스 애시도필러스 YT1(GS)
07:20 밀추출물(CJ)","08:20 유단백추출물(홈엔쇼핑)
08:20 폴리코사놀(NS)
09:25 구기자나무열매(공영)
10:25 흑염소추출물(공영쇼핑)",-,-,21:35 분리유청단백(CJ)
12,4일-일,-,"04:00 오메가3(GS)
04:00 밀크씨슬추출물(NS)
06:50 석류농축액(홈엔쇼핑)
06:50 어골칼슘(NS)
07:45 유단백추출물(GS)
07:50 수국잎열수추출물(CJ)
07:50 폴리코사놀(홈엔쇼핑)
07:50 포스파티딜세린(NS)","08:50 동결건조현미분말(CJ)
08:50 매스틱검(GS)
09:05 흑염소추출물(공영)
10:00 저분자콜라겐펩타이드(CJ)
10:00 콘드로이친(홈엔쇼핑)
11:15 구절초추출물(롯데)","13:40 흑염소추출물(롯데ONE)
14:25 BNR17(CJ)",16:20 흑염소추출물(NS),"20:35 농축유청단백(NS)
22:40 오메가3(GS)
23:50 글루타치온(현대)"
13,5일-월,"01:00 석류농축액(NS)
01:39 밀크씨슬추출물(GS)","04:00 루테인지아잔틴(GS)
06:00 비타민미네랄혼합분말(CJ)
06:45 글루타치온(CJ)
07:36 비타민C(GS)",10:25 보스웰리아추출물(홈엔쇼핑),"13:30 오메가3(홈엔쇼핑)
14:25 프락토올리고당분말(현대)",19:35 시서스추출물(CJ),"20:45 농축유청단백(CJ)
21:45 홍삼농축액(CJ)"
14,6일-화,"01:00 글루타치온(GS)
01:15 글루타치온(현대)
01:20 밀크씨슬추출물(롯데ONE)
01:41 루테인지아잔틴(SK)
03:10 폴리코사놀(GS)
03:40 비타민C(롯데ONE)","04:00 프락토올리고당(NS)
04:13 유기농석류과즙농축액(GS)
05:30 BNR17(신세계)
06:00 글루타치온(현대)
06:00 유단백추출물(홈엔쇼핑)
06:00 저분자콜라겐펩타이드(롯데)
06:00 석류농축액(NS)
06:40 루테인지아잔틴(현대)
06:41 L-아르기닌(SK)
07:25 흑염소추출물(NS)
07:45 크릴오일(CJ)","08:20 동결건조로얄젤리분말(공영)
08:36 저분자콜라겐펩타이드(GS)
10:25 글루타치온(롯데)","13:45 오메가3(GS)
14:10 흑염소추출물(현대)
14:20 보스웰리아추출물(롯데ONE)
15:30 루테인지아잔틴(CJ)
15:40 프로바이오틱스(롯데ONE)","16:40 시서스추출물(롯데)
16:45 모로오렌지추출분말(현대)
18:40 홍삼농축액(롯데)
19:38 저분자콜라겐펩타이드(GS)","20:45 콘드로이친(현대)
20:45 BNR17(홈엔쇼핑)
20:45 분리유청단백(롯데)"
15,7일-수,"00:36 루테인지아잔틴(신세계)
01:00 폴리코사놀(홈엔쇼핑)
01:00 여주분말(공영)","04:00 BNR17(현대)
04:00 쌍화추출액(NS)
06:00 흑염소추출액(GS)
06:00 글루타치온(홈엔쇼핑)
06:00 농축유청단백(NS)
06:00 시서스추출물(NS)
06:40 오메가3(롯데ONE)
06:45 BNR17(CJ)","09:25 BNR17(GS)
09:25 본네로즈힙퓨레(홈엔쇼핑)
10:20 비타민미네랄혼합분말(NS)
10:25 저분자콜라겐펩타이드(GS)
10:25 로즈마리비오틴(롯데)
11:25 밀크씨슬추출물(NS)
11:40 분리유청단백(현대)","13:40 콘드로이친(롯데)
14:20 저분자피쉬콜라겐(홈엔쇼핑)
15:30 글루타치온(CJ)","16:40 글루타치온(롯데)
16:40 저분자콜라겐펩타이드(롯데ONE)
18:35 밀크씨슬추출물(NS)
19:40 폴리감마글루탐산칼슘(롯데)","20:40 흑염소추출물(NS)
20:45 유단백추출물(롯데)
21:45 시서스추출물(홈엔쇼핑)
21:45 흑염소추출물(NS)"
16,8일-목,"01:00 베리솔(CJ)
01:00 BNR17(GS)
01:00 폴리코사놀(NS)
01:20 비타민C(롯데ONE)
02:00 석류농축액(NS)","06:00 글루타치온(CJ)
06:00 흑염소추출물(NS)
06:35 콘드로이친(NS)","08:20 MSM(공영쇼핑)
09:25 피쉬콜라겐(GS)
09:25 우슬등복합물(홈엔쇼핑)
10:25 보스웰리아추출물(현대)
10:25 락토바실러스플란타룸(홈엔쇼핑)","12:30 저분자콜라겐펩타이드(NS)
13:37 구아검가수분해물(GS)
13:40 여주분말(공영)
13:45 유기농석류과즙농축액(CJ)
14:57 프로바이오틱스(GS)","16:40 락토페린(롯데)
19:35 글루타치온(GS)","20:45 글루타치온(CJ)
20:45 보스웰리아추출물(GS)
23:55 루테인지아잔틴(GS)
23:55 석류농축액(NS)"
17,9일-금,01:00 유단백추출물(CJ),"05:00 침향분말(GS)
06:00 글루타치온(NS)
06:35 구아검가수분해물(GS)
07:15 유단백추출물(현대)
07:36 시서스추출물(GS)","08:20 생녹용식물혼합추출액(공영)
08:20 녹용추출액(NS)
09:25 오메가3(GS)
09:25 루테인지아잔틴(홈엔쇼핑)
10:25 락토바실러스플란타룸(GS)
10:25 저분자콜라겐펩타이드(롯데)
10:25 프락토올리고당(NS)
11:45 비타민C(홈엔쇼핑)","14:35 오메가3(CJ)
15:38 저분자콜레겐펩타이드(GS)
16:35 글루타치온(NS)",19:38 BNR17(현대),"20:38 홍삼농축액(GS)
20:45 구절초추출물(롯데)
"
18,10일-토,02:00 오메가3(롯데),"05:45 쏘팔메토오일(CJ)
06:00 매스틱검(GS)
07:15 프로바이오틱스(GS)
07:15 분리유청단백(홈엔쇼핑)
07:20 락토페린(CJ)
07:20 농축유청단백(롯데)","08:20 루테인지아잔틴(NS)
08:25 글루타치온(공영)
09:20 수국잎열수추출물(홈엔쇼핑)
09:25 흑염소추출물(공영)
11:25 홍삼농축액(홈엔쇼핑)","14:25 BNR17(CJ)
15:38 락토바실러스플란타룸(GS)",-,23:40 석류농축액(NS)
19,11일-일,-,"05:35 쏘팔메토오일(GS)
06:00 유단백추출물(NS)
06:40 분리유청단백(NS)
06:45 보스웰리아추출물(CJ)
06:50 BNR17(CJ)
07:05 흑염소추출물(공영)
07:35 L-아르기닌(롯데)
07:50 알팔파농축분말(현대)","08:50 저분자콜라겐펩타이드(GS)
10:00 오메가3(GS)
10:00 락토바실러스 애시도필러스 YT1(현대)
10:00 흑염소추출물(홈엔쇼핑)
10:00 농축유청단백(NS)
10:36 저분자콜라겐펩타이드(GS)
11:15 콘드로이친(GS)",-,19:38 저분자콜라겐펩타이드(GS),20:35 비타민C(NS)
20,12일-월,"00:59 저분자콜라겐펩타이드(NS)
01:00 모로오렌지추출물분말(홈엔쇼핑)","06:00 루테인지아잔틴(GS)
06:36 침향분말(GS)
07:15 수국잎열수추출물(롯데)","09:25 농축유청단백(GS)
10:25 오메가3(GS)
10:25 비타민C(현대)
10:25 프로바이오틱스(홈엔쇼핑)
11:36 산화마그네슘(GS)",-,19:35 유단백추출물(GS),20:45 콘드로이친(홈엔쇼핑)
